id,ingreso_txt,sexo_txt,edad,educ,exper,horas,k,formal,situacion,tamano,sector,satisf_txt,urbano,casado,hijos,provincia
114,NA,hombre,19,14,0,183,882.28,0,2,1,4,Normal,1,0,2,GUAYAS
115,"1.251,31",mujer,48,16,26,177,958.4,1,1,2,5,Normal,1,1,0,Guayas
116,"455,44",Mujer,65,99,42,999,144.14,0,2,1,3,Feliz,1,1,1, El Oro
117,565.13,hombre,24,9,11,215,1319.9,1,1,1,1,Normal,0,1,2,Guayas
118,"599,65",Hombre,33,4,18,173,1926.03,0,2,1,4,Feliz,0,0,0,EL ORO
119,,HOMBRE,21,14,4,134,1153.18,0,2,1,3,Triste,1,0,0,AZUAY
120,  1330,MUJER ,19,12,0,240,7999.13,1,1,1,3,Muy feliz,0,0,1,el oro
121,1107.54,HOMBRE,49,16,27,131,2556.47,1,1,2,2,Muy triste,0,0,3, Loja
122,511.58, Mujer,33,7,21,204,2076.4,0,2,1,1,Normal,0,1,1, Loja
123,861.90,hombre,23,15,2,137,3249.8,1,1,1,1,Muy feliz,0,0,1,El Oro
124,1111.98,hombre,19,14,0,160,3877.62,1,1,4,2,Normal,0,1,2,El  Oro
125,551.06,Mujer,20,15,0,183,1014.58,0,2,2,1,Muy feliz,1,0,1, El Oro
126,"536,80",Hombre,56,18,30,99,549.45,0,2,1,2,Normal,1,1,0, Loja
127,665.40,Mujer,45,17,24,130,1881.78,1,1,2,5,Muy triste,1,1,1,Azuay
128,"520,89",Hombre,27,14,9,184,752.19,0,3,1,3,Muy feliz,1,0,2,El  Oro
129,"1.262,63",HOMBRE,48,18,24,98,1416.12,1,1,4,4,Triste,1,1,1,El Oro
130,  624,M,38,11,20,137,2529.31,0,3,1,2,Feliz,1,0,1,AZUAY
131,"525,25",MUJER ,18,5,4,223,3258.29,0,2,2,5,Feliz,1,1,2,guayas
132,350.34,M,19,10,4,103,1596.02,0,2,2,5,Triste,0,1,0,LOJA
133,383.21, Mujer,63,10,48,86,629.09,0,2,1,4,Feliz,1,1,0,El Oro
134,  1148,HOMBRE,35,14,12,180,5997.31,1,1,3,3,Muy triste,1,0,2,guayas
135,774.57,H,58,11,41,173,1083.48,0,3,2,4,Feliz,1,1,2, El Oro
136,"881,49",Hombre ,33,8,19,188,2124.15,0,2,2,1,Triste,1,0,1,Loja
137,"687,43",Hombre,21,12,3,238,217.26,0,2,4,1,Normal,1,1,3, El Oro
138,1146.65,Hombre,27,16,9,227,1568.91,1,1,3,4,Feliz,0,0,2,EL ORO
139,999999,MUJER ,23,16,3,142,3736.82,0,2,1,4,Normal,1,1,2,guayas
140,548.36,HOMBRE,61,8,45,189,3316.64,0,3,2,2,Triste,1,1,3,GUAYAS
141,  561,M,52,12,36,233,1544.8,0,3,2,5,Muy feliz,1,1,2,el oro
142,"1.226,57",hombre,23,17,0,208,2182.23,1,1,1,1,Normal,1,0,3,el oro
143,"635,32",MUJER ,21,16,0,134,2257.06,1,1,3,2,Feliz,0,0,0,GUAYAS
144,562.83,Hombre ,23,5,7,204,832.08,0,3,2,1,Normal,1,1,1,EL ORO
145,  308, Mujer,23,10,5,92,2406.78,0,2,1,4,Triste,1,0,0,Loja
146,575.71,Mujer,24,14,4,118,1532.85,0,3,2,5,Muy feliz,0,0,0,EL ORO
147,960.94,hombre,41,14,21,150,976.65,0,2,1,3,Muy feliz,1,0,1,el oro
148,676.66,Hombre ,35,12,18,170,1868.07,0,2,1,4,Triste,0,1,3, El Oro
149,s/i,mujer,45,13,26,110,925.57,0,2,2,5,Normal,0,0,1,AZUAY
150,  331,mujer,99,13,2,182,330.79,0,3,1,3,Muy feliz,1,0,1,El  Oro
151,1986.77,hombre,65,18,41,130,5852.22,0,3,4,3,Normal,1,1,3,El  Oro
152,296.04, Mujer,32,8,18,73,897.92,0,2,2,1,Triste,1,0,3,Azuay
153,NA,hombre,20,15,0,194,245.59,1,1,1,3,Muy feliz,0,0,1,El  Oro
154,688.36,H,36,8,21,146,3019.7,0,2,3,4,Triste,1,0,1, Loja
155,738.43,Hombre,58,15,36,224,496.86,1,1,1,1,Muy triste,0,0,0,LOJA
156,636.83,hombre,36,12,16,204,524.07,1,1,1,5,Normal,1,1,0,EL ORO
157,"888,73",H,29,8,16,152,1039.42,0,2,3,3,Triste,1,0,1,AZUAY
158,  644,MUJER ,31,8,16,169,2048.28,0,2,2,4,Muy triste,1,0,0,el oro
159,s/i, Mujer,28,17,5,169,2893.79,1,1,1,1,Normal,1,1,2,El  Oro
160,338.46,H,54,10,39,136,1409.29,0,2,1,1,Muy triste,1,1,1,El  Oro
161,851.90,H,25,13,5,147,1536.3,0,2,2,5,Muy feliz,0,0,0,el oro
162,591.81,Mujer,24,11,6,105,1728.28,1,1,3,4,Feliz,0,1,2,El Oro
163,791.75,MUJER ,49,9,35,210,2615.73,0,2,4,1,Normal,0,0,1, El Oro
164,  524,hombre,22,9,9,215,1044.42,0,2,1,1,Feliz,1,1,2,El  Oro
165,444.88,HOMBRE,20,9,5,69,1480.98,1,1,1,3,Muy triste,0,0,3,AZUAY
166,682.12,hombre,24,14,4,135,793.75,1,1,3,1,Muy feliz,1,0,2,guayas
167,  452,Hombre ,20,13,2,59,5263.54,0,2,2,2,Feliz,1,0,1,Azuay
168,653.25,H,33,11,16,218,4339.04,1,1,1,4,Muy triste,0,0,0,El  Oro
169,  440,hombre,24,4,10,127,890.48,1,1,3,3,Muy triste,0,0,0,Guayas
170,1181.50,Mujer,46,16,24,194,820.97,0,3,1,2,Normal,0,0,0,EL ORO
171,"735,17",Hombre,62,10,,192,2415.16,0,2,1,3,Normal,1,1,3,guayas
172,397.36,Hombre,30,7,15,93,2399.69,0,2,1,1,Triste,1,0,1,el oro
173,390.67,hombre,33,10,17,163,467.48,0,2,1,3,Triste,1,0,0,El Oro
174,510.23,HOMBRE,23,6,8,116,1272.41,0,2,4,4,Triste,1,0,1,EL ORO
175,1045.99, Mujer,21,15,0,215,3382.46,1,1,1,2,Muy triste,0,0,1,EL ORO
176,703.55,HOMBRE,26,7,12,228,1660.51,0,2,1,4,Feliz,0,1,1,Azuay
177,"1.904,92",hombre,49,12,30,223,7561.15,0,3,2,3,Muy feliz,1,0,1,GUAYAS
178,"1.026,41",MUJER ,48,13,31,208,627.34,0,2,2,5,Normal,1,1,1,El Oro
179,718.48,mujer,62,12,44,168,4124.96,0,3,2,1,Muy feliz,1,1,0,El Oro
180,911.76,MUJER ,38,11,18,134,1606.06,0,3,4,2,Normal,0,1,1,Guayas
181,934.79,Hombre ,18,13,0,150,1614.5,0,2,3,3,Triste,1,1,3,El  Oro
182,  2241,Hombre ,57,13,38,242,4106.84,1,1,3,5,Feliz,1,1,2,El Oro
183,977.29,mujer,60,16,37,126,510.17,0,3,2,1,Feliz,1,0,1,Azuay
184,"830,25",Mujer,23,18,0,141,931.93,1,1,3,4,Feliz,1,0,3,Guayas
185,427.32,H,55,5,38,145,2045.57,0,2,1,3,Muy feliz,1,1,3,Azuay
186,"379,97",Hombre ,22,12,4,97,2493.5,0,2,2,3,Triste,1,0,0,El  Oro
187,"229,43",MUJER ,22,4,8,129,344.21,0,3,1,5,Muy feliz,0,0,1,Loja
188,"296,20", Mujer,23,1,8,166,919.29,0,2,2,4,Muy feliz,1,1,4,AZUAY
189,"403,88",hombre,61,8,48,118,1282.64,1,1,1,4,Normal,1,0,0,Guayas
190,1165.34,hombre,46,13,30,186,1055.58,1,1,2,4,Feliz,1,1,1,El  Oro
191,  566,hombre,50,11,32,207,527.07,1,1,2,3,Normal,1,1,3,El Oro
192,433.83,mujer,60,5,45,159,1825.9,0,2,2,5,Normal,1,0,1,LOJA
193,1145.89,HOMBRE,26,19,0,162,4515.22,1,1,2,3,Muy feliz,1,0,1,LOJA
194,246.66,MUJER ,28,9,13,171,663.19,0,2,2,1,Muy feliz,1,0,0,El Oro
195,  623,M,21,14,2,164,775.92,0,3,2,5,Feliz,1,0,1,el oro
196,  846,MUJER ,49,14,27,189,1855.96,1,1,2,3,Triste,1,0,0, El Oro
197,977.87,HOMBRE,28,11,14,142,303.35,0,2,2,1,Normal,1,1,3,El  Oro
198,"251,65",H,31,9,18,124,295.12,0,2,1,3,Triste,1,0,0,guayas
199,  1311,mujer,24,16,0,225,3895.3,0,3,1,3,Normal,1,0,0,AZUAY
200,"1.439,03",Mujer,51,16,29,223,1977.43,0,3,2,2,Triste,0,1,2,EL ORO
201,376.33,hombre,21,7,4,202,493.65,0,2,3,2,Muy feliz,1,0,0, Loja
202,"911,06",hombre,30,17,4,999,1640.73,1,1,1,2,Muy feliz,0,0,1,AZUAY
203,"861,48",Mujer,99,11,1,209,788.53,1,1,2,5,Triste,1,0,0,Guayas
204,1071.35,Hombre,56,16,35,206,1933.55,1,1,3,4,Triste,1,1,2,AZUAY
205,"612,20",MUJER ,18,11,1,201,393.79,0,3,1,3,Triste,0,0,0,EL ORO
206,836.10,mujer,39,14,18,216,2093.25,0,2,3,4,Normal,1,1,2,guayas
207,859.01,hombre,59,13,37,203,1509.08,0,2,1,5,Muy triste,1,0,0, El Oro
208,"479,47",HOMBRE,64,8,50,125,1261.52,0,2,2,5,Normal,1,0,0,AZUAY
209,"1.209,28",hombre,29,15,7,159,1404.23,1,1,1,3,Muy feliz,1,0,0, El Oro
210,736.84,MUJER ,37,8,18,256,2758.66,0,2,2,4,Muy feliz,1,0,1,El  Oro
211,"880,49",hombre,32,12,14,178,1688.87,1,1,2,5,Muy triste,1,1,0,el oro
212,496.49,MUJER ,43,15,22,116,683.45,1,1,1,3,Normal,1,1,1,LOJA
213,  320,Hombre ,62,99,42,144,718.1,0,2,1,1,Normal,0,0,1,Loja
214,"272,01",H,18,9,3,113,865.49,0,2,1,4,Muy triste,0,0,0,LOJA
215,"1.473,84",Hombre,59,13,42,165,2367,1,1,3,5,Muy feliz,0,1,0,El Oro
216,331.67,HOMBRE,48,4,34,147,477.24,0,2,1,4,Normal,1,1,0,El Oro
217,408.53,HOMBRE,27,13,6,110,920.25,0,2,2,3,Triste,1,0,,El Oro
218,"883,41",mujer,42,4,27,209,1082.89,0,2,2,3,Muy triste,1,1,5,el oro
219,933.55,H,26,13,5,134,1406.16,1,1,2,3,Muy feliz,0,0,0, El Oro
220,s/i,M,37,11,21,165,1141,0,3,4,4,Muy triste,0,0,0,AZUAY
221,619.83,hombre,34,13,14,147,1715.53,1,1,1,4,Normal,0,1,3, El Oro
222,343.11,HOMBRE,41,13,20,103,807.87,0,3,1,4,Feliz,1,0,0,Loja
223,601.28,Mujer,21,14,0,174,1293.44,1,1,1,2,Normal,1,0,2,Guayas
224,498.27,Mujer,29,14,12,137,638.72,1,1,3,4,Triste,1,0,0,GUAYAS
225,264.40,M,21,5,7,137,699.32,0,2,2,1,Normal,1,1,2,LOJA
226,504.81,mujer,20,13,1,151,748.42,1,1,3,4,Triste,0,1,2,El Oro
227,672.00,Hombre ,18,8,5,999,2804.19,0,3,2,4,Normal,1,0,0,el oro
228,656.56,HOMBRE,43,99,26,143,683.33,1,1,1,4,Muy feliz,1,1,4,El Oro
229,"1.059,43",HOMBRE,99,14,34,187,2134.97,0,3,3,4,Muy feliz,0,0,2,GUAYAS
230,545.68,MUJER ,41,13,23,116,1001.06,1,1,1,5,Triste,1,0,0, El Oro
231,"435,11",MUJER ,22,12,4,163,1427.79,1,1,1,1,Triste,1,0,0,El  Oro
232,1436.29,H,63,99,38,213,2189.84,0,3,1,3,Muy feliz,1,0,1,Azuay
233,"573,31", Mujer,22,99,9,127,5026.07,0,2,1,3,Normal,1,0,1, El Oro
234,"801,26",HOMBRE,35,16,12,999,1009.79,0,2,2,4,Triste,1,1,2,El Oro
235,1280.43,Hombre,22,17,0,210,2659.72,1,1,4,3,Muy feliz,0,1,1,guayas
236,  557,H,34,7,19,239,1903.63,0,3,2,3,Feliz,1,1,1,AZUAY
237,"837,37",mujer,29,14,8,163,1475.36,0,3,2,1,Feliz,0,1,1,LOJA
238,527.76, Mujer,28,15,8,169,1394.67,1,1,1,1,Triste,1,0,0,El  Oro
239,937.87,Hombre ,63,12,44,187,922.14,0,2,1,1,Triste,0,1,2,El  Oro
240,1062.05, Mujer,48,11,31,143,5450.24,1,1,4,4,Triste,1,1,3,El  Oro
241,"484,51",Hombre,39,10,26,154,383.28,1,1,1,4,Muy feliz,1,1,3,Loja
242,"2.031,05",mujer,59,12,41,114,6134.9,0,3,4,4,Muy feliz,1,0,0,EL ORO
243,"1.002,45",HOMBRE,30,6,14,216,2999.41,0,2,3,1,Muy triste,1,1,4,El  Oro
244,"854,31",hombre,34,13,14,159,896.32,0,3,1,3,Triste,0,1,0,El Oro
245,1249.20,M,25,15,5,250,2563.95,1,1,3,4,Muy feliz,0,0,3, Loja
246,"456,69",mujer,20,15,0,130,751.38,0,2,4,5,Feliz,0,1,1,El  Oro
247,"869,96",mujer,25,11,11,174,971.79,0,3,3,3,Muy feliz,1,0,1,EL ORO
248,  464,MUJER ,39,7,23,134,2007.69,0,3,1,2,Triste,1,1,2,El Oro
249,"797,19",Hombre ,45,8,30,999,3825.38,1,1,1,4,Muy feliz,0,1,1,El Oro
250,393.14,HOMBRE,32,8,19,203,623.42,0,2,2,1,Normal,0,0,0,AZUAY
251,300.69,MUJER ,27,14,8,170,345.24,0,3,1,3,Triste,0,1,6,guayas
252,  527,mujer,47,13,26,184,2006.26,1,1,1,5,Feliz,1,1,3,EL ORO
253,"1.001,23",mujer,30,13,12,121,2725.47,1,1,2,1,Triste,1,1,0,el oro
254,"626,63",MUJER ,63,8,45,199,1138.99,0,3,4,4,Normal,1,0,0, El Oro
255,692.68, Mujer,51,14,32,211,998.66,1,1,1,3,Feliz,0,0,0,EL ORO
256,"698,12",Hombre ,40,12,19,173,517.3,0,2,2,2,Feliz,1,1,2, El Oro
257,1075.05,HOMBRE,36,11,19,152,1725.14,0,2,2,1,Muy feliz,1,0,1,El  Oro
258,1101.68,Mujer,27,19,4,142,2614.79,1,1,3,4,Normal,1,0,0,EL ORO
259,"607,79",MUJER ,19,8,3,188,2678.27,0,2,3,4,Normal,1,0,0,el oro
260,  1339,M,59,17,37,167,1476.15,0,2,3,5,Muy feliz,1,1,3,AZUAY
261,"796,43",M,50,18,27,174,771.16,0,3,1,3,Feliz,1,1,0,AZUAY
262,320.17,mujer,37,11,19,134,481.77,1,1,1,1,Triste,0,0,0,El  Oro
263,"664,77", Mujer,52,10,37,255,575.72,0,3,1,4,Feliz,1,0,1,El Oro
264,247.97,M,46,1,31,139,741.93,0,2,2,4,Normal,1,1,2, El Oro
265,,Hombre,31,11,16,177,3294.15,1,1,4,4,Triste,1,1,2,el oro
266,"1.643,32",MUJER ,42,15,,218,7591.27,0,2,1,3,Muy feliz,1,1,3,El Oro
267,"385,24",H,19,6,3,192,958.65,0,2,1,3,Feliz,1,0,0,GUAYAS
268,"474,97",Hombre ,30,14,12,105,158.86,1,1,1,1,Normal,1,0,1, El Oro
269,  638,mujer,21,12,5,192,1806.92,0,3,1,1,Triste,1,0,1,Guayas
270,"1.203,70", Mujer,20,15,2,148,1121.18,1,1,1,2,Muy feliz,0,1,4,Guayas
271,"238,01",MUJER ,41,14,22,85,665.52,0,3,1,4,Triste,1,0,0,LOJA
272,870.27,H,54,8,39,206,1389.14,0,2,3,1,Normal,1,1,2,el oro
273,"432,64",HOMBRE,21,5,7,178,2230.25,1,1,2,1,Triste,0,1,2,AZUAY
274,"376,80",Hombre ,19,14,0,151,364.29,1,1,1,4,Normal,0,0,1,El Oro
275,"548,40",M,29,11,9,149,989.65,0,2,1,2,Normal,1,0,0,El Oro
276,  889,HOMBRE,47,10,30,221,1452.24,0,2,1,1,Normal,0,1,3,El Oro
277,NA,HOMBRE,54,17,30,214,7644.03,1,1,1,3,Normal,0,1,2,El Oro
278,312.12,H,40,13,22,52,336.49,0,2,4,3,Triste,1,1,2,Azuay
279,  296,MUJER ,37,13,19,159,898.34,1,1,1,1,Normal,1,1,2,el oro
280,  350,Mujer,20,99,5,162,743.08,0,2,1,2,Muy triste,1,0,1,El  Oro
281,"356,97",Hombre ,43,5,26,131,1071.99,0,2,1,1,Triste,1,1,1, El Oro
282,"817,80",Mujer,39,14,18,162,3363.91,0,3,1,4,Muy triste,0,0,2,guayas
283,"724,83",mujer,59,4,45,265,10747.6,0,3,1,1,Normal,1,0,3,guayas
284,1264.22,mujer,32,17,10,188,2562.48,0,3,1,2,Muy feliz,1,1,2,GUAYAS
285,  766,mujer,55,14,37,244,220.96,0,2,3,4,Muy triste,1,1,1,Azuay
286,NA,HOMBRE,33,15,11,200,827.23,0,2,1,3,Normal,1,0,0,El Oro
287,531.76,H,43,8,29,247,1320.69,0,2,1,1,Normal,0,1,1,Azuay
288,  555,H,31,11,14,119,1407.74,0,2,1,4,Muy feliz,0,0,0,El  Oro
289,"2.396,68",H,37,16,12,197,1928.61,0,3,4,4,Normal,1,1,1,El Oro
290,641.36,mujer,46,10,30,223,3883.49,0,3,1,2,Muy triste,1,0,2,EL ORO
